Date,Time,Open,High,Low,Close,Volume
20030506,00:00:00,341.53,344.21,340.28,343.28,7
20030507,00:00:00,343.45,344.19,339.00,341.23,6
20030508,00:00:00,341.28,348.13,339.96,347.38,6
20030509,00:00:00,347.33,348.58,345.82,347.92,6
20030512,00:00:00,348.16,351.58,347.73,350.80,10
20030513,00:00:00,350.03,351.26,348.54,349.18,11
20030514,00:00:00,349.35,353.95,347.40,351.65,10
20030515,00:00:00,351.61,355.22,350.21,351.20,10
20030516,00:00:00,351.07,355.07,350.49,353.90,10
20030519,00:00:00,355.64,365.81,354.73,365.45,6
20030520,00:00:00,365.52,369.30,363.30,367.50,7
20030521,00:00:00,367.00,372.00,362.75,371.41,6
20030522,00:00:00,370.68,371.69,367.21,367.86,6
20030523,00:00:00,367.05,370.19,364.75,367.46,5
20030526,00:00:00,367.94,370.49,367.54,369.57,5
20030527,00:00:00,369.57,374.19,363.89,364.21,7
20030528,00:00:00,364.45,366.60,358.00,364.21,6
20030529,00:00:00,362.00,365.77,359.60,365.28,6
20030530,00:00:00,368.48,368.80,363.00,363.74,6
20030602,00:00:00,362.45,366.24,359.55,364.94,6
20030603,00:00:00,365.10,366.94,363.91,364.54,7
20030604,00:00:00,363.78,365.34,360.36,361.81,6
20030605,00:00:00,362.06,368.30,360.24,368.10,6
20030606,00:00:00,367.80,368.26,361.50,363.12,6
20030608,00:00:00,362.81,363.36,362.60,362.82,1
20030609,00:00:00,362.73,365.19,360.33,361.23,6
20030610,00:00:00,361.33,361.53,351.07,351.47,7
20030611,00:00:00,352.47,355.77,351.88,353.91,6
20030612,00:00:00,354.07,354.95,350.34,352.46,6
20030613,00:00:00,352.70,356.10,351.44,355.70,6
20030616,00:00:00,356.00,360.30,355.56,358.58,6
20030617,00:00:00,358.50,362.87,358.11,362.50,7
20030618,00:00:00,362.48,363.87,356.18,356.62,6
20030619,00:00:00,356.60,361.64,353.94,360.45,6
20030620,00:00:00,360.28,362.08,355.47,355.76,6
20030623,00:00:00,355.89,357.17,351.50,352.04,6
20030624,00:00:00,352.21,354.26,345.34,345.71,7
20030625,00:00:00,346.32,348.78,345.82,346.90,6
20030626,00:00:00,347.83,348.27,342.31,342.38,6
20030627,00:00:00,342.38,345.69,341.69,344.61,6
20030630,00:00:00,344.32,347.41,343.43,344.61,6
20030701,00:00:00,344.67,351.06,344.35,350.64,7
20030702,00:00:00,350.58,352.30,349.08,350.67,6
20030703,00:00:00,350.56,350.97,348.57,349.96,6
20030704,00:00:00,350.15,351.06,349.82,350.23,6
20030706,00:00:00,350.16,350.49,349.91,350.06,1
